url,indicator
https://www.latimes.com/food/newsletter/2023-01-22/easy-braises-that-make-the-best-leftovers-cooking-editorial,OK
https://www.latimes.com/entertainment-arts/story/2023-03-03/lifespan-of-a-fact-review-fountain-theatre-los-angeles,OK
https://store.latimes.com/?utm_source=latimes&utm_medium=homepage&utm_campaign=homepage_nav,N_OK
https://www.latimes.com/entertainment-arts/tv/story/2023-03-06/history-of-the-world-part-2-mel-brooks-hulu-review,OK
https://www.googletagservices.com/,N_OK
https://ca-times.brightspotcdn.com/dims4/default/5bdabcf/2147483647/strip/true/crop/7236x4824+250+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fb3%2F8e%2F146a11894f9c83900552085cdec4%2F1258072-me-0305-desantis-reagan-library4-wjs.jpg,N_OK
https://www.latimes.com/topic/things-to-do,OK
https://www.latimes.com/topic/times-investigations,OK
https://www.latimes.com/california/story/2023-01-29/lawmakers-want-investigation-hearings-into-the-wild-wild-west-of-california-cannabis-and-farm-work,OK
https://api.permutive.com/,N_OK
https://www.latimes.com/topic/la-affairs,OK
https://ca-times.brightspotcdn.com/dims4/default/09b09db/2147483647/strip/true/crop/6365x4243+0+11/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fd5%2Fba%2Fb9324c474815b996d9b842e7780d%2F1223474-me-victory-baptist-church-cmh-011.jpg,N_OK
https://ca-times.brightspotcdn.com/dims4/default/f5cfffc/2147483647/strip/true/crop/4945x3297+0+263/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F56%2F0e%2F4908b004443897e8edd7bfedb923%2F1263868-la-sp-clippers-grizzlies-06-mjc.jpg,N_OK
https://www.latimes.com/about/marketing/los-angeles-times-for-students-and-educators,OK
https://www.latimes.com/homeless-housing,OK
https://ca-times.brightspotcdn.com/dims4/default/e5aa7eb/2147483647/strip/true/crop/6187x4125+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa4%2Fbc%2Fec675d8b75d1bbe312fd01c965cb%2F6a2e67a3cc6849b8857dee55fa6005ae,N_OK
https://www.latimes.com/entertainment-arts/awards/story/2023-03-06/oscars-2023-the-slap-one-year-later-will-smith-chris-rock,OK
https://www.latimes.com/about/public-affairs,OK
https://www.latimes.com/,OK
https://www.latimes.com/bestcovery/best-plasma-tv-overall,OK
https://membership.latimes.com/newsletters/,N_OK
https://www.latimes.com/california,OK
https://ca-times.brightspotcdn.com/dims4/default/5140562/2147483647/strip/true/crop/3471x2314+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F2c%2F9a%2Fe63ec5344672b86750b9c2f28988%2F1248815-wk-0218-michael-washington-usal-020-ik.jpg,N_OK
https://www.latimes.com/bestcovery/?utm_source=on_site&utm_medium=footer&utm_campaign=bestcovery,OK
https://activate.platform.californiatimes.com/caltimes/latimes/Bootstrap.js,N_OK
https://www.latimes.com/latest,OK
https://ca-times.brightspotcdn.com/dims4/default/a97ad92/2147483647/strip/true/crop/3500x2333+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F4f%2F33%2F1874d80a0e2299eae98504de48a6%2F7a4c689eb03948999d1dbfcdfbb827c6,N_OK
https://ca-times.brightspotcdn.com/dims4/default/56dd32e/2147483647/strip/true/crop/840x560+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fc0%2Fef%2F9af4d21241d598b236d43bae1b3d%2Fbestcovery-weighted-blankets-v1.png,N_OK
https://timesrx.latimes.com/?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=times_rx,N_OK
https://ca-times.brightspotcdn.com/dims4/default/97b383c/2147483647/strip/true/crop/2603x1735+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F1f%2F6f%2Fa97da0134faeb58e428710e0d848%2F1263041-me-weather-feature-12-ajs-crp.jpg,N_OK
https://www.latimes.com/world-nation/story/2023-03-03/black-vietnam-veteran-finally-awarded-medal-of-honor,OK
https://www.latimes.com/gift-subscription-terms,OK
https://www.latimes.com/lifestyle/story/2023-03-03/la-affairs-i-got-divorced-married-men-react,OK
https://www.latimes.com/obituaries,OK
https://www.latimes.com/california/story/2023-03-06/two-teens-rescued-hike-san-gorgonio-mountains-dangerous-snow,OK
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/embedVaccines/,OK
https://link.chtbl.com/jln4Gc2Q?sid=HP_Barker,N_OK
https://www.latimes.com/about/for-the-record/,OK
https://www.latimes.com/lifestyle/image,OK
https://www.latimes.com/business/technology/story/2023-03-06/column-the-promise-of-free-speech-on-elon-musks-twitter-is-officially-dead,OK
https://www.latimes.com/california/story/2023-03-05/reasons-los-angeles-homeless-unhoused-rv-encampments,OK
https://www.latimeswine.com/club,N_OK
https://www.latimes.com/privacy-policy,OK
https://www.latimes.com/opinion/story/2023-03-02/california-covid-school-vaccine-mandate,OK
https://ca-times.brightspotcdn.com/dims4/default/99c25ba/2147483647/strip/true/crop/840x560+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F83%2F70%2F736896e54fad94d4080beeaad7dc%2Flat23-fob-840x560.jpg,N_OK
https://www.latimes.com/bestcovery/best-hdtv-overall,OK
https://ca-times.brightspotcdn.com/dims4/default/f6c1728/2147483647/strip/true/crop/840x560+0+0/resize/840x560!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F9a%2F14%2F1c33540c478e8fe34fd88f06110d%2Fcompare-deals.png,N_OK
