url,size_of_downloaded_page (in bytes),number_of_outlinks,content_type
https://www.latimes.com/espanol/eeuu/articulo/2023-03-06/twitter-experimenta-problemas-con-enlaces-imagenes,211662,100,text/html
https://www.latimes.com/about/for-the-record/story/2023-03-01/la-a4-correx-20230301,207487,140,text/html
https://www.latimes.com/people/danielle-dorsey,224237,150,text/html
https://www.latimes.com/lifestyle/story/2023-02-15/when-to-move-in-with-partner-advice,271353,162,text/html
https://www.latimes.com/b2b/business-visionaries,358355,185,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-03-04/los-indigenas-estan-en-el-punto-de-mira-por-resistirse-a-los-proyectos-de-desarrollo-mexico,215724,95,text/html
https://www.latimes.com/lifestyle/story/2022-01-05/those-struggling-with-mental-health-have-found-validation-on-tiktok-heres-how,280408,184,text/html
https://www.latimes.com/people/bill-addison,232841,151,text/html
https://www.latimes.com/entertainment-arts/business,344836,188,text/html
https://www.latimes.com/california/story/2022-09-11/fire-destroys-south-los-angeles-victory-baptist-church,265869,159,text/html
https://www.latimes.com/california/story/2023-01-03/california-cvs-settlement-opioid-crisis-prescriptions,258206,160,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-01-19/que-monstruos-pudieron-asesinar-a-un-bebe-en-el-condado-de-tulare-kiosco-digital,205482,106,text/html
https://www.latimes.com/california/latino-life,553691,256,text/html
https://www.latimes.com/food/story/2023-01-05/simon-silver-lake-mariscos-tacos-bill-addison-review,301673,164,text/html
https://www.latimes.com/espanol/mexico/articulo/2023-03-04/mexico-detienen-a-canadiense-en-caso-de-muerte-de-mujer,198635,97,text/html
https://www.latimes.com/california/story/2022-06-25/as-blue-and-red-states-fight-over-abortion-guns-and-covid-newsom-seizes-an-opportunity,286549,168,text/html
https://www.latimes.com/lifestyle/image,533653,242,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-06/biden-los-derechos-electorales-siguen-bajo-ataque,219409,98,text/html
https://www.latimes.com/people/charles-mcnulty,230415,151,text/html
https://www.latimes.com/entertainment-arts/story/2023-02-17/selena-gomez-weight-gain-lupus,262783,165,text/html
https://www.latimes.com/california/story/2022-12-29/the-impossible-costs-of-cannabis-californias-legal-weed-industry-is-killing-itself,457584,186,text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/covid-19-vaccines-distribution/,1048576,14,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2023-03-04/shakira-llega-al-museo-del-grammy-con-elegancia-y-sin-escandalos,251441,90,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2023-03-02/marzo-podria-traer-nuevas-tormentas-a-california-kiosco-digital,202993,105,text/html
https://www.latimes.com/entertainment-arts/music/story/2023-03-07/snoop-dogg-wiz-khalifa-tour-dates-tickets-high-school-reunion,281872,164,text/html
https://www.latimes.com/espanol/comida/articulo/2022-06-20/naufraga-el-iconico-restaurante-flotante-jumbo-de-hong-kong,221089,101,text/html
https://www.latimes.com/sports/ucla/story/2023-03-07/analysis-ucla-basketball-jaylen-clark-ncaa-title-hopes,253576,161,text/html
https://www.latimes.com/espanol/mexico/articulo/2022-07-09/luis-echeverria-el-legado-de-un-politico-al-que-la-historia-juzgara,207461,96,text/html
https://www.latimes.com/california/story/2023-03-06/socal-gas-proposed-4-9-billion-rate-sparks-outrage-amid-soaring-bills,257788,158,text/html
https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/assets/meta/favicon-32x32.33f0b2a8.png,437,0,image/png
https://www.latimes.com/espanol/mexico/articulo/2023-03-03/mexico-intenta-evitar-sanciones-por-situacion-de-la-vaquita,225292,99,text/html
